Product_1,Product_2,num_baskets
382,489,2
382,494,5
489,494,6
117,181,6
117,216,7
117,282,3
117,405,3
181,216,6
181,282,7
181,405,7
216,282,3
216,405,3
282,405,9
273,28,3
273,471,6
28,471,5
276,413,4
107,313,9
107,399,4
107,419,3
107,476,8
313,399,4
313,419,6
313,476,7
399,419,2
399,476,4
419,476,4
104,196,3
104,389,5
196,389,2
110,200,6
110,245,7
110,413,2
110,55,3
200,245,4
200,413,2
200,55,2
245,413,3
245,55,4
413,55,4
53,78,5
210,99,5
105,301,8
105,340,3
301,340,6
109,326,4
109,342,6
109,368,4
326,342,4
326,368,5
342,368,5
228,267,6
228,375,4
267,375,5
251,32,3
251,391,3
251,464,2
32,391,5
32,464,5
391,464,9
121,253,11
121,267,4
121,385,4
253,267,7
253,385,4
267,385,8
251,455,7
13,137,10
13,245,3
13,35,7
13,465,6
137,245,8
137,35,6
137,465,3
245,35,7
245,465,4
35,465,4
126,151,4
126,176,3
126,283,5
126,327,9
151,176,3
151,283,8
151,327,7
176,283,5
176,327,3
283,327,5
16,186,5
16,263,3
16,426,6
186,263,6
186,426,8
263,426,5
198,240,10
198,302,2
198,384,4
198,53,5
240,302,5
240,384,9
240,53,6
302,384,5
302,53,2
384,53,5
120,131,4
120,231,10
120,296,5
131,231,5
131,296,4
231,296,4
20,487,4
221,222,7
221,334,5
222,334,3
164,205,6
164,336,4
164,401,7
205,336,6
205,401,5
336,401,3
369,454,7
369,486,7
454,486,4
236,29,4
236,84,4
29,84,2
161,347,8
161,357,10
347,357,1
239,240,12
239,353,8
240,353,5
230,314,3
230,53,3
314,53,5
301,444,6
301,474,8
444,474,4
116,219,5
116,226,4
116,285,5
116,428,5
219,226,6
219,285,5
219,428,8
226,285,6
226,428,6
285,428,8
273,455,4
241,252,6
241,377,7
252,377,3
254,33,7
254,459,3
33,459,6
131,284,6
131,293,6
131,401,7
131,458,2
284,293,3
284,401,3
284,458,2
293,401,6
293,458,4
401,458,5
106,19,7
106,358,5
106,85,9
19,358,4
19,85,7
358,85,7
152,175,8
152,238,9
152,333,5
152,456,3
175,238,3
175,333,2
175,456,6
238,333,5
238,456,8
333,456,2
122,290,6
122,324,6
122,463,7
122,91,4
290,324,6
290,463,6
290,91,6
324,463,6
324,91,5
463,91,5
279,309,6
279,310,5
279,502,3
309,310,4
309,502,3
310,502,7
288,31,6
288,329,2
288,482,2
31,329,5
31,482,3
329,482,2
127,20,5
127,80,5
20,80,10
357,378,6
357,463,4
357,498,4
357,77,2
378,463,4
378,498,9
378,77,7
463,498,8
463,77,6
498,77,3
16,369,7
364,376,4
364,82,7
376,82,3
319,360,5
319,420,4
319,483,4
360,420,4
360,483,4
420,483,2
279,378,5
279,61,5
378,61,3
306,483,7
306,50,4
306,77,5
483,50,4
483,77,1
50,77,5
214,47,3
202,327,7
202,43,5
202,431,3
327,43,3
327,431,9
43,431,5
152,497,4
223,273,4
223,492,4
223,62,5
223,94,7
273,492,4
273,62,4
273,94,5
492,62,4
492,94,4
62,94,2
151,182,4
151,300,8
151,346,2
182,300,2
182,346,2
300,346,3
104,219,7
104,234,8
104,312,3
219,234,5
219,312,3
234,312,2
206,485,4
249,374,5
234,354,5
128,15,8
128,180,7
128,482,7
128,8,10
15,180,4
15,482,3
15,8,4
180,482,6
180,8,7
482,8,5
161,215,1
161,448,1
215,448,6
262,295,7
126,197,6
126,374,7
126,474,6
126,497,2
197,374,4
197,474,4
197,497,3
374,474,6
374,497,5
474,497,9
166,247,5
166,250,3
166,49,5
247,250,4
247,49,4
250,49,4
156,167,6
156,219,4
156,37,4
167,219,4
167,37,4
219,37,8
268,275,5
268,342,7
268,64,6
268,9,6
275,342,6
275,64,6
275,9,7
342,64,2
342,9,8
64,9,2
145,203,9
145,248,5
145,263,5
145,504,2
203,248,8
203,263,2
203,504,6
248,263,3
248,504,3
263,504,4
241,379,4
241,454,5
379,454,6
211,266,5
211,278,5
211,280,6
266,278,3
266,280,6
278,280,4
314,341,5
314,422,3
314,455,3
341,422,4
341,455,7
422,455,5
148,420,6
288,298,3
288,315,9
288,325,4
288,82,2
298,315,7
298,325,4
298,82,4
315,325,6
315,82,7
325,82,5
315,490,5
10,127,7
10,21,6
10,29,6
10,494,5
127,21,5
127,29,5
127,494,5
21,29,4
21,494,3
29,494,2
190,221,6
220,317,5
220,340,7
220,482,3
220,83,7
317,340,6
317,482,6
317,83,7
340,482,8
340,83,5
482,83,4
253,40,3
253,407,5
253,479,3
40,407,4
40,479,10
407,479,5
274,396,2
193,293,2
193,315,8
193,329,5
193,468,4
293,315,2
293,329,4
293,468,8
315,329,5
315,468,4
329,468,1
12,201,4
12,287,7
12,367,2
201,287,6
201,367,6
287,367,6
134,253,7
134,3,7
134,332,7
253,3,5
253,332,6
3,332,4
162,210,4
162,33,6
162,448,6
162,72,4
210,33,4
210,448,5
210,72,5
33,448,6
33,72,2
448,72,1
302,307,9
311,315,3
167,39,7
167,400,5
39,400,10
13,31,7
13,314,3
13,475,5
13,480,3
31,314,5
31,475,5
31,480,5
314,475,8
314,480,2
475,480,4
147,4,3
147,451,1
4,451,3
244,293,3
283,299,3
283,34,4
283,425,6
283,46,3
299,34,4
299,425,3
299,46,4
34,425,6
34,46,4
425,46,10
109,305,2
109,355,4
109,48,4
109,92,5
305,355,7
305,48,2
305,92,4
355,48,4
355,92,9
48,92,3
122,138,10
122,141,3
138,141,3
295,416,7
295,437,7
416,437,4
416,93,3
437,93,6
146,289,3
146,303,6
146,334,5
289,303,4
289,334,6
303,334,7
396,456,4
246,440,9
129,152,7
129,210,3
129,26,7
129,481,2
152,210,11
152,26,6
152,481,6
210,26,8
210,481,6
26,481,9
12,147,4
12,284,7
12,468,6
147,284,3
147,468,3
284,468,8
232,281,7
232,317,4
232,456,6
232,485,3
281,317,4
281,456,6
281,485,7
317,456,6
317,485,6
456,485,5
106,140,5
40,462,7
40,497,9
462,497,8
386,453,3
386,50,3
453,50,5
277,484,3
133,211,6
133,327,3
133,433,7
133,450,2
211,433,4
211,450,3
327,433,4
327,450,4
433,450,6
188,201,3
188,342,4
188,86,3
188,97,7
201,342,7
201,86,7
201,97,4
342,86,5
342,97,2
86,97,5
297,31,5
297,321,6
31,321,5
220,258,10
220,286,2
220,361,7
220,456,6
258,286,3
258,361,4
258,456,9
286,361,5
286,456,6
361,456,7
167,315,4
167,94,8
315,94,6
12,353,7
12,484,8
12,91,3
353,484,4
353,91,9
484,91,5
314,401,4
314,403,3
401,403,6
119,438,3
119,464,6
438,464,6
15,314,6
15,461,5
15,487,3
314,461,5
314,487,7
461,487,1
177,178,5
118,232,4
118,388,6
232,388,2
18,192,3
18,208,5
18,281,4
18,474,9
192,208,5
192,281,1
192,474,5
208,281,4
208,474,4
281,474,4
0,128,6
0,255,5
0,336,8
0,482,3
128,255,6
128,336,3
255,336,5
255,482,3
336,482,2
175,212,9
175,282,8
175,90,8
212,282,5
212,90,4
282,90,6
114,370,2
114,400,4
114,474,6
370,400,5
370,474,5
400,474,4
413,482,7
117,271,3
117,32,7
271,32,3
170,323,4
125,298,4
125,30,4
125,426,5
125,499,6
298,30,3
298,426,2
298,499,10
30,426,2
30,499,3
426,499,2
309,423,3
2,391,6
2,421,7
2,507,6
391,421,6
391,507,5
421,507,2
396,455,10
110,259,3
110,264,5
110,372,7
110,74,8
259,264,4
259,372,4
259,74,3
264,372,9
264,74,4
372,74,3
159,238,3
159,398,5
159,451,4
159,64,6
238,398,4
238,451,5
238,64,5
398,451,4
398,64,7
451,64,6
105,108,5
105,175,2
108,175,8
211,229,11
211,252,8
211,412,4
229,252,4
229,412,5
252,412,4
314,9,4
32,408,3
32,435,4
32,63,2
408,435,8
408,63,4
435,63,3
196,234,2
196,245,6
196,388,3
196,418,6
234,245,6
234,388,5
234,418,6
245,388,5
245,418,7
388,418,5
201,510,6
133,25,7
133,381,7
133,468,3
25,381,2
25,468,6
381,468,3
336,396,3
336,421,4
336,485,4
336,492,9
396,421,4
396,485,7
396,492,7
421,485,5
421,492,6
485,492,5
172,470,5
285,376,1
164,393,7
164,91,7
393,91,8
11,38,4
11,39,6
11,435,2
11,94,2
38,39,2
38,435,7
38,94,2
39,435,6
39,94,7
435,94,4
460,490,5
460,51,6
460,73,4
490,51,4
490,73,6
51,73,5
109,382,6
109,403,3
109,491,5
382,403,7
382,48,5
382,491,4
403,48,2
403,491,3
48,491,4
127,308,4
194,402,4
194,442,3
194,470,5
402,442,8
402,470,3
442,470,6
11,110,2
11,314,4
11,448,7
11,97,5
110,314,7
110,448,3
110,97,7
314,448,2
314,97,9
448,97,4
472,88,5
218,418,3
240,64,4
240,68,3
64,68,3
168,450,4
168,472,5
450,472,6
14,331,7
152,353,1
288,353,2
476,493,5
73,85,4
120,186,4
120,260,8
120,280,5
120,412,5
186,260,2
186,280,5
186,412,7
260,280,4
260,412,4
280,412,5
364,370,4
15,36,6
15,47,7
15,76,7
36,47,8
36,76,4
47,76,5
231,370,4
124,504,7
170,201,4
102,162,6
102,199,6
102,274,3
162,199,3
162,274,5
199,274,8
219,229,5
158,211,4
23,283,4
23,345,6
23,51,4
23,61,4
283,345,5
283,51,3
283,61,10
345,51,3
345,61,7
51,61,11
253,35,5
253,439,3
253,463,2
253,82,5
35,439,6
35,463,7
35,82,5
439,463,4
439,82,3
463,82,8
171,22,4
171,484,4
171,510,3
22,484,6
22,510,5
484,510,8
177,185,5
177,241,5
185,241,4
152,32,5
152,455,5
175,32,4
175,455,7
32,455,2
11,312,8
11,420,5
11,71,3
312,420,7
312,71,4
420,71,5
244,485,3
244,508,5
485,508,4
2,288,8
2,367,3
288,367,6
104,242,4
104,432,5
104,450,4
242,432,8
242,450,6
432,450,9
164,373,6
164,459,3
164,99,7
373,459,3
373,99,6
459,99,2
27,455,2
27,491,6
455,491,10
137,168,4
101,141,6
101,170,3
101,29,3
101,324,5
141,170,4
141,29,2
141,324,3
170,29,4
170,324,5
29,324,8
171,4,5
171,420,6
4,420,8
306,338,7
306,362,6
306,369,8
306,7,4
338,362,5
338,369,7
338,7,4
362,369,6
362,7,6
369,7,8
217,407,9
167,169,6
167,23,3
167,427,5
167,76,2
169,23,8
169,427,4
169,76,3
23,427,4
23,76,4
427,76,6
239,286,4
239,297,6
239,325,5
239,334,8
286,297,6
286,325,2
286,334,2
297,325,7
297,334,6
325,334,9
253,436,5
253,484,6
253,83,6
253,88,6
436,484,7
436,83,4
436,88,4
484,83,5
484,88,4
83,88,5
237,417,1
233,32,3
233,78,1
32,78,5
167,367,5
319,468,5
319,69,5
468,69,2
385,386,7
385,64,7
385,93,4
386,64,3
386,93,6
64,93,5
130,286,5
130,435,5
130,6,5
130,66,9
286,435,8
286,6,6
286,66,7
435,6,2
435,66,6
6,66,8
136,173,7
136,373,2
136,432,4
136,66,2
173,373,7
173,432,8
173,66,5
373,432,5
373,66,6
432,66,2
107,250,2
107,443,5
107,65,3
107,80,4
250,443,3
250,65,3
250,80,5
443,65,3
443,80,5
65,80,7
253,417,3
253,65,4
417,65,3
109,431,6
109,447,3
109,462,5
431,447,4
431,462,5
447,462,5
277,352,4
277,438,8
277,75,3
352,438,4
352,75,7
438,75,3
37,505,6
12,180,5
12,272,4
12,323,6
12,420,5
180,272,5
180,323,4
180,420,5
272,323,3
272,420,6
323,420,4
169,395,2
169,444,5
169,89,4
395,444,3
395,89,6
444,89,4
170,228,4
170,492,5
228,492,5
143,169,6
143,215,2
143,74,6
169,215,6
169,74,6
215,74,3
136,500,4
136,504,7
136,96,4
500,504,5
500,96,2
504,96,3
101,204,5
101,222,3
204,222,8
195,366,4
195,42,4
195,52,4
195,66,3
366,42,5
366,52,3
366,66,5
42,52,3
42,66,5
52,66,4
247,291,4
247,312,3
247,7,7
291,312,5
291,7,2
312,7,5
12,296,3
12,360,7
12,471,5
12,55,7
296,360,4
296,471,6
296,55,4
360,471,2
360,55,7
471,55,8
151,406,6
151,86,5
406,86,5
